frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	0.0058976635336875916	0.0051728347316384315	0.005726627539843321	0.0077555482275784016	0.0038714571855962276	0.013926433399319649	0.013119684532284737	0.009003612212836742	0.005234733689576387	0.007166695315390825	0.004964430350810289	0.006527623161673546	0.006450999993830919	0.00442518899217248	0.006941885221749544	0.00748171703889966	0.007877878844738007	0.005282026715576649	0.009549076668918133	0.012130877003073692	0.012042326852679253	0.00931846909224987	0.0125666419044137	0.004470447544008493	0.010745778679847717	0.004975446499884129	0.010775036178529263	0.011695923283696175	0.003980449866503477	0.01293663028627634	0.007054388988763094	0.0078184949234128	0.004093139432370663	0.013536104001104832	0.0047429632395505905	0.010886134579777718	0.005756419152021408	0.004171081818640232	0.005698015913367271	0.0039827958680689335	0.007241095881909132	0.004772413056343794	0.009666801430284977	0.006804324220865965	0.007240706589072943	0.005031375680118799	0.0056501394137740135	0.007081259973347187	0.009175609797239304	0.0086516123265028	0.00886871200054884	0.006891322787851095	0.006657587829977274	0.0062689934857189655	0.0061885397881269455	0.007586408406496048	0.008758868090808392	0.005413077771663666	0.007382832933217287	0.007041959557682276	0.009781962260603905	0.007624464109539986	0.0029011412989348173	0.0050252219662070274	0.020802173763513565	0.013164641335606575	0.006798113230615854	0.012062638998031616	0.00476817274466157	0.009054563008248806	0.008920084685087204	0.012373223900794983	0.0070428927429020405	0.01185781043022871	0.006685496307909489	0.008307231590151787	0.010786986909806728	0.008051133714616299	0.011457448825240135	0.00889517366886139	0.016827689483761787	0.006732594687491655	0.012174972333014011	0.008694603107869625	0.009522592648863792	0.006404558662325144	0.006709613371640444	0.009428313933312893	0.006384019274264574	0.007348726503551006	0.0076804799027740955	0.005374396685510874	0.007084921933710575	0.006355197634547949	0.01411782018840313	0.007355174049735069	0.01360395085066557	0.011652342975139618	0.022177312523126602	0.013306926004588604
30	60	0.2719423174858093	0.2709215581417084	0.36540931463241577	0.3609267473220825	0.29633933305740356	0.37939146161079407	0.2755076289176941	0.3101711869239807	0.3124712407588959	0.30327168107032776	0.18930195271968842	0.2837830185890198	0.33122843503952026	0.23404192924499512	0.2781197130680084	0.29428553581237793	0.38039788603782654	0.3813260793685913	0.2880234718322754	0.3763580024242401	0.2836799621582031	0.3197903335094452	0.32980602979660034	0.35259878635406494	0.3256308436393738	0.2799685299396515	0.1186077743768692	0.12270006537437439	0.3986915647983551	0.3290935754776001	0.38134920597076416	0.0884113609790802	0.3654029071331024	0.3890174627304077	0.38197994232177734	0.5155983567237854	0.2608130872249603	0.34746018052101135	0.33969464898109436	0.29061323404312134	0.488476425409317	0.35495632886886597	0.35183680057525635	0.4440150856971741	0.3817306160926819	0.31593579053878784	0.3661491572856903	0.38406893610954285	0.3982796370983124	0.37320661544799805	0.4035691022872925	0.451175332069397	0.40299785137176514	0.4432218074798584	0.3750070035457611	0.43530890345573425	0.41976526379585266	0.3679773807525635	0.40695682168006897	0.3695712983608246	0.3928339183330536	0.3666037917137146	0.44212600588798523	0.30522438883781433	0.5642125010490417	0.45829927921295166	0.3471120297908783	0.41553252935409546	0.398838609457016	0.42587393522262573	0.39747512340545654	0.3565255105495453	0.38940873742103577	0.3507583737373352	0.468658983707428	0.4027320444583893	0.40148264169692993	0.4518885612487793	0.4275828003883362	0.331613689661026	0.4183725416660309	0.3874296545982361	0.40435999631881714	0.3819696009159088	0.402352899312973	0.4470125734806061	0.4162972569465637	0.44561687111854553	0.385333389043808	0.4265584647655487	0.4548953175544739	0.40009158849716187	0.4180753529071808	0.3519485294818878	0.40387022495269775	0.3880877196788788	0.439918577671051	0.359552264213562	0.5114749073982239	0.4423825442790985
60	90	0.9062431454658508	0.97981858253479	1.2589843273162842	1.342655897140503	1.012938141822815	1.3819646835327148	1.0453647375106812	0.993194043636322	1.0354058742523193	1.0168331861495972	0.6086441874504089	1.1389968395233154	1.0262898206710815	0.785250723361969	0.9221152663230896	0.9912857413291931	1.2935880422592163	1.257246494293213	1.032904028892517	1.25021493434906	0.9320660829544067	1.0628184080123901	1.0368400812149048	1.0653676986694336	1.037500023841858	0.8950389623641968	0.3842034637928009	0.43435466289520264	1.2497721910476685	1.1181540489196777	1.1156600713729858	0.34232932329177856	1.2954970598220825	1.3124717473983765	1.294808268547058	1.4288861751556396	1.012324333190918	1.1537290811538696	1.1052404642105103	1.0670278072357178	1.4699219465255737	1.2132724523544312	1.222769856452942	1.4089356660842896	1.2758128643035889	1.1012605428695679	1.2015998363494873	1.295722484588623	1.324756383895874	1.1961748600006104	1.305719017982483	1.4763096570968628	1.2753795385360718	1.4822334051132202	1.2679985761642456	1.350616455078125	1.2784414291381836	1.2847672700881958	1.3309741020202637	1.1995000839233398	1.2380907535552979	1.2398574352264404	1.5140528678894043	1.2555243968963623	1.7259241342544556	1.3175647258758545	1.30521559715271	1.3920811414718628	1.3640577793121338	1.3282952308654785	1.0901801586151123	1.1998975276947021	1.2669329643249512	1.2091546058654785	1.5371739864349365	1.2742581367492676	1.278598666191101	1.3946830034255981	1.345267653465271	1.1383452415466309	1.168744683265686	1.3073294162750244	1.366876244544983	1.3113548755645752	1.3716117143630981	1.4423799514770508	1.2969591617584229	1.5109816789627075	1.3101768493652344	1.3523383140563965	1.3381266593933105	1.3663512468338013	1.3492863178253174	1.1506693363189697	1.2386229038238525	1.28350031375885	1.5508588552474976	1.1635223627090454	1.7026913166046143	1.2982715368270874
90	120	1.3420703411102295	1.4221410751342773	1.8259050846099854	1.9008384943008423	1.5704487562179565	1.9285074472427368	1.4562004804611206	1.4139057397842407	1.518641710281372	1.5059279203414917	0.843139111995697	1.6647636890411377	1.4883019924163818	1.1698449850082397	1.346444010734558	1.452940583229065	1.8798236846923828	1.9514260292053223	1.648373007774353	1.9301235675811768	1.3704094886779785	1.5020442008972168	1.4478588104248047	1.8910915851593018	1.5383825302124023	1.2538225650787354	0.48672303557395935	0.5879172086715698	1.843317985534668	1.6086885929107666	1.5089900493621826	0.4916170537471771	1.7965749502182007	1.843201756477356	1.9036093950271606	2.1628615856170654	1.3778115510940552	1.665063738822937	1.6985775232315063	1.6150583028793335	2.140244960784912	1.7792787551879883	1.761293888092041	2.0024056434631348	1.802245020866394	1.693402886390686	1.5535762310028076	2.0034828186035156	1.893535852432251	1.7729068994522095	1.8990418910980225	2.205854892730713	1.889984369277954	2.135563850402832	1.871407389640808	2.0162172317504883	1.773030400276184	1.9138000011444092	1.911094069480896	1.807668685913086	1.7745469808578491	1.7957885265350342	2.114898681640625	1.6120015382766724	2.4204916954040527	1.8100769519805908	1.9651814699172974	1.9271279573440552	1.9765175580978394	2.025127410888672	1.4562233686447144	1.6931275129318237	1.8607250452041626	1.6997758150100708	2.0963480472564697	1.8704525232315063	1.8777319192886353	1.9857285022735596	1.9247862100601196	1.7386442422866821	1.642804503440857	1.9556328058242798	2.0129919052124023	2.0754685401916504	2.0502655506134033	2.2334749698638916	1.8633404970169067	2.2382123470306396	1.8906128406524658	1.9829919338226318	1.862369418144226	2.0442965030670166	1.9711488485336304	1.7159174680709839	1.7868393659591675	1.8031938076019287	2.3429934978485107	1.5611125230789185	2.381883144378662	1.827783226966858
120	150	1.488558053970337	1.6434359550476074	2.0306453704833984	2.067561626434326	1.7424300909042358	2.267392873764038	1.7877360582351685	1.457371473312378	1.7351806163787842	1.6111557483673096	0.93621826171875	1.9352600574493408	1.6398074626922607	1.263879656791687	1.4947175979614258	1.6273099184036255	2.052370309829712	2.099233627319336	1.8208692073822021	2.204538345336914	1.6000880002975464	1.5839499235153198	1.5035349130630493	1.8732812404632568	1.6399832963943481	1.378394365310669	0.48319634795188904	0.650434136390686	1.9744608402252197	1.7875480651855469	1.6086742877960205	0.540935218334198	2.086538076400757	1.9599539041519165	2.1593785285949707	2.3668487071990967	1.6796936988830566	1.8846837282180786	1.9165971279144287	1.7946088314056396	2.1950292587280273	2.044991970062256	2.0296263694763184	2.2175686359405518	2.0826356410980225	1.8784221410751343	1.7447618246078491	2.177996873855591	2.08752179145813	2.0564005374908447	2.1043708324432373	2.6166787147521973	2.1109611988067627	2.3774495124816895	2.0794613361358643	2.242502212524414	1.9599411487579346	2.187622547149658	2.130293130874634	1.9862982034683228	1.9372210502624512	2.0302066802978516	2.2900197505950928	1.7755517959594727	2.595545530319214	1.9738315343856812	2.108980894088745	2.0424580574035645	2.1688003540039062	2.2705788612365723	1.6751927137374878	1.8699849843978882	2.114969491958618	1.845423698425293	2.2418532371520996	2.106628179550171	2.0706233978271484	2.1324853897094727	2.1291792392730713	1.8728387355804443	1.7220712900161743	2.106374502182007	2.187756299972534	2.243010997772217	2.205362319946289	2.487419605255127	2.1151604652404785	2.258136510848999	2.1252636909484863	2.226595163345337	1.9361778497695923	2.262436866760254	2.136765241622925	1.9627081155776978	1.9450446367263794	2.0311427116394043	2.5309314727783203	1.5556161403656006	2.661834955215454	1.956384301185608
150	180	1.5355639457702637	1.6525535583496094	2.06595516204834	2.168138027191162	1.8450442552566528	2.3094122409820557	1.7346446514129639	1.512120246887207	1.7355802059173584	1.4754409790039062	0.9273125529289246	1.982946515083313	1.722320795059204	1.3746190071105957	1.5384801626205444	1.649691104888916	2.102492332458496	2.123246908187866	1.8395103216171265	2.2365267276763916	1.686765432357788	1.7359167337417603	1.563507080078125	1.9757938385009766	1.6275862455368042	1.4475375413894653	0.490873783826828	0.6356076598167419	2.128035545349121	1.800678014755249	1.5851616859436035	0.5593118071556091	2.115380048751831	1.9297889471054077	2.149872303009033	2.4061405658721924	1.6560497283935547	1.9725128412246704	1.977298378944397	1.8671550750732422	2.1976406574249268	2.089822769165039	2.057612895965576	2.287966012954712	2.0452566146850586	1.9409728050231934	1.78494131565094	2.2286407947540283	2.1225192546844482	2.068063735961914	2.1365842819213867	2.4500114917755127	2.16033935546875	2.4457128047943115	2.1361420154571533	2.2895381450653076	1.9614136219024658	2.220858573913574	2.151794910430908	1.993713617324829	1.959556221961975	2.0837690830230713	2.374786853790283	1.7102527618408203	2.6684958934783936	1.9762792587280273	2.204444646835327	2.0549376010894775	2.241692066192627	2.2103476524353027	1.5679895877838135	1.9751778841018677	2.117331027984619	1.9224318265914917	2.1787362098693848	2.1144280433654785	2.0800278186798096	2.251323938369751	2.1359264850616455	1.9647523164749146	1.638319730758667	2.1455776691436768	2.198446035385132	2.2562272548675537	2.243511438369751	2.561284303665161	2.1839518547058105	2.312995672225952	2.14717173576355	2.251816511154175	1.9533696174621582	2.3335816860198975	2.1470415592193604	2.0146241188049316	1.9248942136764526	2.0861217975616455	2.4661009311676025	1.6106981039047241	2.6645469665527344	1.9703648090362549
180	240	1.509248971939087	1.5994608402252197	2.0257210731506348	2.078242301940918	1.7448686361312866	2.3426012992858887	1.7892125844955444	1.4463891983032227	1.7504042387008667	1.5693026781082153	0.9218801856040955	1.9871459007263184	1.6468675136566162	1.3525724411010742	1.5156612396240234	1.6540709733963013	2.048567056655884	2.134869337081909	1.8316597938537598	2.1987361907958984	1.633500099182129	1.7136565446853638	1.445905327796936	1.9499130249023438	1.670048475265503	1.4550508260726929	0.48473528027534485	0.6392902135848999	2.0177645683288574	1.6978473663330078	1.5401948690414429	0.5676959753036499	2.0567681789398193	1.8413561582565308	2.140857696533203	2.3203632831573486	1.4788687229156494	1.8901829719543457	1.9372564554214478	1.8047040700912476	2.102872610092163	2.038933038711548	1.9940054416656494	2.229269027709961	2.0684738159179688	1.87308669090271	1.7613410949707031	2.1391117572784424	2.115804433822632	1.9505192041397095	2.1485249996185303	2.5185534954071045	2.1101231575012207	2.3596155643463135	2.0761489868164062	2.160001039505005	1.9601621627807617	2.1733906269073486	2.117669105529785	1.9646395444869995	1.9291355609893799	2.0332770347595215	2.259398937225342	1.660581350326538	2.5919694900512695	1.9432425498962402	2.097270965576172	2.0056819915771484	2.166841745376587	2.2315618991851807	1.5634292364120483	1.8861576318740845	2.0759470462799072	1.8270643949508667	2.116389513015747	2.074841022491455	2.0088322162628174	2.155122756958008	2.1146442890167236	1.9022598266601562	1.6825804710388184	2.140139579772949	2.074389696121216	2.1222586631774902	2.1952688694000244	2.486032485961914	2.10080885887146	2.263516426086426	2.096412181854248	2.1973605155944824	2.017171859741211	2.2233057022094727	2.1236965656280518	1.9235044717788696	1.8981503248214722	2.038145065307617	2.2993533611297607	1.5052136182785034	2.575242042541504	1.9264588356018066
240	300	1.4745879173278809	1.5570950508117676	1.940761685371399	2.0520126819610596	1.7899376153945923	2.175645351409912	1.7178525924682617	1.4638375043869019	1.740834355354309	1.5430290699005127	0.9136330485343933	1.9364696741104126	1.632757306098938	1.3875558376312256	1.4721393585205078	1.5926319360733032	1.9440819025039673	2.100708246231079	1.7450056076049805	2.053105115890503	1.6686242818832397	1.6624711751937866	1.4578014612197876	1.9044523239135742	1.6390706300735474	1.4569405317306519	0.46345698833465576	0.6277045607566833	1.866563320159912	1.6626254320144653	1.4637465476989746	0.5751017928123474	1.9507086277008057	1.821292519569397	2.0256505012512207	2.313713788986206	1.5797276496887207	1.8479632139205933	1.8806401491165161	1.7747690677642822	2.0147628784179688	1.9912292957305908	1.9424952268600464	2.207818031311035	1.961331844329834	1.8231899738311768	1.6955199241638184	2.046599864959717	2.042069673538208	1.992871642112732	2.0300815105438232	2.360487937927246	2.0232961177825928	2.2221133708953857	2.0252959728240967	2.0931589603424072	1.904929518699646	2.0807485580444336	1.9971425533294678	1.9117121696472168	1.8693881034851074	1.9658269882202148	2.229940176010132	1.6423883438110352	2.4502556324005127	1.84792959690094	2.075582265853882	1.9899910688400269	2.0422751903533936	2.1377711296081543	1.4701862335205078	1.8456926345825195	1.989023208618164	1.7864991426467896	2.050750255584717	2.0215506553649902	1.9388588666915894	2.1375184059143066	2.009190797805786	1.8257544040679932	1.6914581060409546	2.091235876083374	2.0084073543548584	2.0161571502685547	2.068809747695923	2.4349722862243652	2.013579845428467	2.197486400604248	1.9977964162826538	2.094722270965576	1.9431209564208984	2.123969078063965	2.0180106163024902	1.8765928745269775	1.832886815071106	1.956812858581543	2.1717052459716797	1.4835143089294434	2.4354159832000732	1.884872555732727
300	360	1.4259063005447388	1.518435001373291	1.8509399890899658	2.0207855701446533	1.6317721605300903	2.117882251739502	1.6419687271118164	1.4064621925354004	1.7231380939483643	1.4957832098007202	0.8884944319725037	1.9599374532699585	1.6448519229888916	1.3308241367340088	1.4287748336791992	1.5366209745407104	1.8565903902053833	2.0568816661834717	1.6417533159255981	2.052499294281006	1.6013691425323486	1.659794807434082	1.4283437728881836	1.9317219257354736	1.5810130834579468	1.4963032007217407	0.4644656777381897	0.6404773592948914	1.8490018844604492	1.598597526550293	1.402343511581421	0.5826873779296875	1.8703662157058716	1.8324973583221436	1.911946177482605	2.183839797973633	1.4297878742218018	1.7561346292495728	1.8019745349884033	1.6835073232650757	1.8407188653945923	1.9361587762832642	1.8439836502075195	2.0941925048828125	1.8495888710021973	1.748340368270874	1.6037945747375488	1.9517967700958252	1.9196659326553345	1.8519513607025146	1.8969727754592896	2.3006179332733154	1.9202269315719604	2.1493239402770996	1.9024218320846558	1.9776134490966797	1.7335597276687622	1.9790796041488647	1.9087729454040527	1.8225826025009155	1.7760037183761597	1.8395919799804688	2.049480676651001	1.5703825950622559	2.320077657699585	1.821742296218872	1.961365818977356	1.8146531581878662	1.9339873790740967	2.1206414699554443	1.4155124425888062	1.7491599321365356	1.9052683115005493	1.6890815496444702	1.9246299266815186	1.958348035812378	1.8927699327468872	2.050396203994751	1.8903732299804688	1.7596971988677979	1.5837230682373047	1.9503520727157593	1.9107458591461182	1.96038818359375	1.971822738647461	2.343803644180298	1.9323636293411255	2.038607597351074	1.908396601676941	1.9995384216308594	1.8327510356903076	2.019543170928955	1.9087257385253906	1.8017244338989258	1.7625101804733276	1.8460150957107544	2.126934051513672	1.4631246328353882	2.26535701751709	1.8344142436981201
360	480	1.3760168552398682	1.4447944164276123	1.7256755828857422	1.8954442739486694	1.5593512058258057	1.9431886672973633	1.6019999980926514	1.3839458227157593	1.6779135465621948	1.413762092590332	0.8670573234558105	1.796801209449768	1.5480093955993652	1.303668737411499	1.3720542192459106	1.473913311958313	1.741390347480774	1.9074201583862305	1.5460995435714722	1.8901640176773071	1.5339066982269287	1.628946304321289	1.4385833740234375	1.6727708578109741	1.5589534044265747	1.4533814191818237	0.4637027680873871	0.6372072100639343	1.6919052600860596	1.5466139316558838	1.3203996419906616	0.5946235060691833	1.790693759918213	1.712525486946106	1.799329400062561	2.0914361476898193	1.479694128036499	1.6620625257492065	1.6912118196487427	1.5965349674224854	1.7773513793945312	1.8383326530456543	1.7319852113723755	2.0154247283935547	1.7453807592391968	1.6525200605392456	1.5492157936096191	1.828684687614441	1.7929478883743286	1.6732679605484009	1.7924180030822754	2.2249021530151367	1.8326002359390259	1.9606640338897705	1.7976378202438354	1.8483744859695435	1.719059944152832	1.8415015935897827	1.771150827407837	1.7317566871643066	1.6830542087554932	1.7645211219787598	1.858909010887146	1.4877426624298096	2.192962169647217	1.7183682918548584	1.8636237382888794	1.743032455444336	1.8142215013504028	1.9724562168121338	1.3758800029754639	1.6870827674865723	1.7913142442703247	1.597646713256836	1.7537885904312134	1.8816384077072144	1.747091293334961	1.9818121194839478	1.791821837425232	1.6693391799926758	1.5323197841644287	1.790902018547058	1.7764713764190674	1.8189983367919922	1.8438313007354736	2.2436318397521973	1.8119479417800903	1.9032241106033325	1.7936475276947021	1.8303998708724976	1.7514209747314453	1.8826978206634521	1.7858635187149048	1.6930224895477295	1.6544897556304932	1.7366878986358643	1.919887900352478	1.4024012088775635	2.185725212097168	1.7267911434173584
